occupation_name
Animal Control Officer
Arborist / Faller
Art Director
Asphalt / Screed Worker / Paver
Auto Damage Appraiser
Carpet Installer
Case Worker
Chaplain / Pastor / Priest
Childcare / Preschool Director
Concrete Finisher
Criminal Investigator
Customs Broker
Director of Religious Education
DJ / Announcer
Door - to - Door Sales Worker
Etcher / Engraver
Farm / Nursery / Greenhouse Worker
Farm / Ranch Manager
Fashion Designer
Finisher / Polisher / Buffer
Fire Chief / Marshal
Firefighter
Fish Hatchery Manager / Technician
Flight Attendant
Flooring Installer
Floral Designer
Fuel Service Attendant
Funeral Director / Embalmer
Furniture Finisher
Glazier
Golf Course Worker
Home Appliance Repairer
Insurance Sales Agent
Insurance Underwriter
Interior Designer
Jeweler
Lawn Care / Pesticide Technician
Loan Processor / Assistant
Manicurist / Pedicurist
Merchandising Manager
Municipal / License / Court Clerk
Nursery / Greenhouse Manager
Photographer
Pilot Instructor
Plasterer / Stucco Mason
Postal Service / Mail Room Worker
Print Bindery / Finishing Worker
Property / Real Estate / Community Manager
Quarry Worker / Blaster
Radio / Television Announcer
Real Estate Agent / Broker
Recycling / Sanitation Worker
Sailor / Deckhand / Marine Oiler
Sales Assistant
Sales Supervisor
Salon / Spa Manager
Sewing Machine Operator
Ship / Boat Captain
Stocking Clerk / Sales Floor Support
Substance Abuse Counselor
Tailor / Seamstress
Tile / Granite Worker
Transportation Security Officer
Umpire / Referee
Videographer
Weatherization Installer
Youth Counselor / Worker
