occupation_code
35-2011.00
35-2021.00
35-3011.00
35-3021.00
35-3022.01
35-3031.00
35-3041.92
35-9011.00
35-9021.00
35-9031.00
37-1012.00
37-2011.00
37-2012.00
37-2021.00
37-3011.00
37-3013.00
21-1021.00
21-1092.00
29-1141.94
43-4061.91
47-2021.00
47-2061.00
47-2073.00
47-2081.00
47-2111.00
47-2131.00
47-2141.00
47-2152.02
47-2181.00
47-2211.00
47-4011.00
47-4051.00
47-5012.00
47-5013.00
45-2041.91
25-2031.00
25-2031.91
25-2031.92
25-2031.94
25-2031.95
25-2059.00
25-2059.91
25-2059.92
25-3011.91
25-3021.91
25-3021.92
25-3021.93
25-3021.94
25-3099.00
25-9041.00
11-9111.91
29-1021.00
29-1031.00
29-1062.00
29-1071.01
29-1071.91
29-1122.00
29-1123.00
29-1124.00
29-1126.00
29-1129.91
29-1131.00
29-1141.00
29-1141.03
29-1141.04
29-1141.91
29-1161.00
29-1181.00
29-2021.00
29-2051.00
29-2053.00
29-2056.00
29-2061.00
29-2092.00
29-2099.94
29-9091.00
31-1011.00
31-1014.00
31-1014.91
31-1015.00
31-2011.00
31-2012.00
31-2021.00
31-9091.00
31-9092.00
31-9093.00
31-9094.00
31-9096.00
31-9097.00
31-9099.02
49-2022.00
49-3023.00
49-3031.00
49-3042.00
49-3093.00
49-9012.00
49-9021.00
49-9041.00
49-9052.00
49-9062.00
49-9071.91
49-9071.92
49-9094.00
49-9098.00
23-1012.00
23-1023.91
23-2093.91
21-1014.91
27-1024.00
29-2071.92
43-2011.00
43-3011.00
43-3031.00
43-3051.00
43-3061.00
43-3071.00
43-4051.91
43-4071.00
43-4081.00
43-4081.91
43-4121.00
43-4161.00
43-4171.00
43-4181.00
43-5021.00
43-5031.00
43-5071.00
43-5081.00
43-5081.04
43-6012.00
43-6013.00
43-6014.00
43-9041.02
43-9071.00
43-9081.00
11-1021.92
25-2011.00
39-1021.92
39-2011.00
39-3091.00
39-5012.00
39-5091.00
39-6011.00
39-6012.00
39-9011.01
39-9021.00
39-9031.000
51-1011.92
51-2022.00
51-3011.00
51-3021.00
51-3092.00
51-4031.00
51-4033.00
51-4111.00
51-5111.91
51-6011.00
51-6093.00
51-7011.00
51-8031.00
51-9081.00
51-9121.00
53-7073.00
33-1012.00
33-3012.00
33-3031.00
33-3041.00
33-3051.01
33-3051.03
33-9032.00
41-2011.00
41-2021.00
41-3041.00
41-3099.93
41-9041.00
47-5042.00
49-9097.00
53-2011.00
53-3021.00
53-3031.00
53-3032.00
53-3033.00
53-3041.00
53-4031.00
53-6021.00
53-7021.00
53-7051.00
53-7061.00
53-7062.00
53-7064.00
